"","transcript","count"
"520","ADAM28-201",331
"521","ADAM29-213",0
"522","ADAM30-201",0
"523","ADAM32-201",0
"524","ADAM33-202",0
"525","ADAM7-202",0
"526","ADAM8-202",2313
"527","ADAM9-209",237
"528","ADAMDEC1-201",0
"529","ADAMTS1-201",0
"530","ADAMTS10-211",0
"531","ADAMTS12-203",0
"532","ADAMTS13-201",0
"533","ADAMTS14-201",0
"534","ADAMTS15-201",0
"535","ADAMTS16-201",0
"536","ADAMTS17-201",0
"537","ADAMTS18-201",0
"538","ADAMTS19-201",0
"539","ADAMTS2-201",0
"540","ADAMTS20-201",0
"541","ADAMTS3-201",0
"542","ADAMTS4-202",0
"543","ADAMTS5-201",0
"544","ADAMTS6-203",0
"545","ADAMTS7-201",0
"546","ADAMTS8-201",0
"547","ADAMTS9-210",0
"548","ADAMTSL1-205",0
"549","ADAMTSL2-201",0
"550","ADAMTSL3-201",0
"551","ADAMTSL4-201",0
"552","ADAMTSL5-201",0
"553","ADAP1-201",0
"554","ADAP2-201",0
"555","ADAR-202",2096
"556","ADARB1-201",0
"557","ADARB2-203",0
"558","ADAT1-201",0
"559","ADAT2-201",0
"560","ADAT3-201",60
"561","ADCK1-201",0
"562","ADCK2-201",206
"563","ADCK5-201",0
"564","ADCY1-201",0
"565","ADCY10-202",0
"566","ADCY2-201",0
"567","ADCY3-201",304
"568","ADCY4-201",0
"569","ADCY5-202",0
"570","ADCY6-201",0
"571","ADCY7-215",348
"572","ADCY8-201",0
"573","ADCY9-201",0
"574","ADCYAP1-203",0
"575","ADCYAP1R1-203",0
"576","ADD1-205",1111
"577","ADD2-201",0
"578","ADD3-201",539
"579","ADGB-205",0
"580","ADGRA1-202",0
"581","ADGRA2-202",0
"582","ADGRA3-202",0
"583","ADGRB1-202",0
"584","ADGRB2-203",0
"585","ADGRB3-202",0
"586","ADGRD1-205",0
"587","ADGRD2-201",0
"588","ADGRE1-202",0
"589","ADGRE2-201",0
"590","ADGRE3-201",0
"591","ADGRE5-201",0
"592","ADGRF1-203",0
"593","ADGRF2-202",0
"594","ADGRF3-203",0
"595","ADGRF4-201",0
"596","ADGRF5-202",0
"597","ADGRG1-267",498
"598","ADGRG2-207",0
"599","ADGRG3-201",0
"600","ADGRG4-203",0
"601","ADGRG5-201",214
"602","ADGRG6-203",0
"603","ADGRG7-201",0
"604","ADGRL1-201",0
"605","ADGRL2-210",0
"606","ADGRL3-204",0
"607","ADGRL4-201",0
"608","ADGRV1-201",0
"609","ADH1A-201",0
"610","ADH1B-201",0
"611","ADH1C-204",0
"612","ADH4-201",0
"613","ADH5-201",144
"614","ADH6-203",0
"615","ADH7-202",0
"616","ADHFE1-203",0
"617","ADI1-201",547
"618","ADIG-204",0
"619","ADIPOQ-202",0
"620","ADIPOR1-201",455
"621","ADIPOR2-201",164
"622","ADIRF-201",0
"623","ADK-205",313
"624","ADM-206",464
"625","ADM2-202",0
"626","ADM5-201",0
"627","ADNP-202",419
"628","ADNP2-201",0
"629","ADO-201",0
"630","ADORA1-204",0
"631","ADORA2A-213",0
"632","ADORA2B-201",0
"633","ADORA3-201",0
"634","ADPGK-201",763
"635","ADPRH-204",0
"636","ADPRHL1-202",0
"637","ADPRM-201",0
"638","ADPRS-201",233
"639","ADRA1A-204",0
"640","ADRA1B-201",0
"641","ADRA1D-201",0
"642","ADRA2A-201",0
"643","ADRA2B-201",0
"644","ADRA2C-201",0
"645","ADRB1-201",0
"646","ADRB2-201",106
"647","ADRB3-201",0
"648","ADRM1-204",1251
"649","ADSL-208",58
"650","ADSS1-201",0
"651","ADSS2-201",553
"652","ADTRP-203",0
"653","AEBP1-201",0
"654","AEBP2-204",144
"655","AEN-201",315
"656","AF196969.1-201",0
"657","AF241726.2-201",0
"658","AFAP1-201",0
"659","AFAP1L1-201",0
"660","AFAP1L2-201",0
"661","AFDN-202",0
"662","AFF1-201",480
"663","AFF2-205",0
"664","AFF3-203",0
"665","AFF4-201",342
"666","AFG1L-201",0
"667","AFG3L2-201",483
"668","AFM-201",0
"669","AFMID-202",88
"670","AFP-202",0
"671","AFTPH-201",337
"672","AGA-201",154
"673","AGAP1-202",0
"674","AGAP2-203",177
"675","AGAP3-202",0
"676","AGAP4-207",0
"677","AGAP5-201",0
"678","AGAP6-202",0
"679","AGAP9-201",0
"680","AGBL1-201",0
"681","AGBL2-203",0
"682","AGBL3-203",0
"683","AGBL4-204",0
"684","AGBL5-202",82
"685","AGER-207",0
"686","AGFG1-201",327
"687","AGFG2-201",0
"688","AGGF1-201",0
"689","AGK-218",261
"690","AGL-201",0
"691","AGMAT-201",145
"692","AGMO-201",0
"693","AGO1-201",0
"694","AGO2-201",0
"695","AGO3-203",0
"696","AGO4-201",0
"697","AGPAT1-206",0
"698","AGPAT2-202",0
"699","AGPAT3-201",250
"700","AGPAT4-201",0
"701","AGPAT5-201",494
"702","AGPS-201",229
"703","AGR2-203",0
"704","AGR3-201",0
"705","AGRN-201",0
"706","AGRP-201",0
"707","AGT-201",0
"708","AGTPBP1-202",186
"709","AGTR1-209",0
"710","AGTR2-201",0
"711","AGTRAP-201",240
"712","AGXT-201",0
"713","AGXT2-201",0
"714","AHCTF1-202",609
"715","AHCY-201",1148
"716","AHCYL1-202",226
"717","AHCYL2-202",0
"718","AHDC1-202",0
"719","AHI1-201",0
"720","AHNAK-201",0
"721","AHNAK2-201",0
"722","AHR-201",0
"723","AHRR-208",0
"724","AHRR-210",0
"725","AHSA1-201",580
"726","AHSG-202",0
