"","transcript","count"
"432","CSTB-201",858
"433","CSTF1-201",388
"434","CSTF2-201",140
"435","CSTF2T-201",411
"436","CSTF3-201",297
"437","CTBP1-203",492
"438","CTCF-215",457
"439","CTNNBL1-201",259
"440","CTSA-204",1255
"441","CTSB-202",1066
"442","CTSC-201",1250
"443","CTSD-201",182
"444","CTSS-201",619
"445","CUL1-201",1229
"446","CUL2-202",422
"447","CUL3-201",515
"448","CUTA-210",891
"449","CWC15-201",310
"450","CWC27-201",213
"451","CWF19L1-201",246
"452","CYB5A-202",187
"453","CYB5B-201",272
"454","CYB5R1-201",499
"455","CYB5R3-201",565
"456","CYC1-201",859
"457","CYCS-201",764
"458","CYTH1-201",616
"459","DAD1-201",486
"460","DAP-201",131
"461","DARS2-212",402
"462","DAZAP1-201",678
"463","DBI-202",681
"464","DBNL-210",636
"465","DCK-201",321
"466","DCPS-201",395
"467","DCTD-202",163
"468","DCTN2-209",571
"469","DCTN3-201",610
"470","DCTN5-201",173
"471","DCTN6-201",196
"472","DCTPP1-201",265
"473","DCUN1D1-201",321
"474","DCXR-201",720
"475","DDA1-201",124
"476","DDAH1-201",121
"477","DDAH2-213",129
"478","DDB1-201",2583
"479","DDI2-202",188
"480","DDOST-206",2676
"481","DDRGK1-201",336
"482","DDX1-202",933
"483","DDX10-201",210
"484","DDX17-202",2397
"485","DDX18-201",907
"486","DDX20-201",120
"487","DDX21-201",1325
"488","DDX23-201",474
"489","DDX24-209",877
"490","DDX27-206",359
"491","DDX41-201",324
"492","DDX42-208",622
"493","DDX46-202",1006
"494","DDX47-202",490
"495","DDX49-201",339
"496","DDX5-201",3515
"497","DDX51-202",0
"498","DDX52-213",224
"499","DDX54-201",196
"500","DDX56-201",492
"501","DDX6-208",1805
"502","DECR1-201",210
"503","DEF6-201",380
"504","DEK-212",376
"505","DEPTOR-201",1557
"506","DERA-201",187
"507","DERL1-201",849
"508","DERL2-201",337
"509","DFFA-202",189
"510","DHFR-201",310
"511","DHRS7-201",477
"512","DHX15-201",1165
"513","DHX29-201",233
"514","DHX30-205",535
"515","DHX36-213",612
"516","DHX38-201",325
"517","DHX9-201",1831
"518","DIAPH1-211",769
"519","DIDO1-201",389
"520","DIMT1-201",188
"521","DKC1-201",683
"522","DLAT-201",409
"523","DLD-201",745
"524","DLST-202",344
"525","DNAJA1-201",863
"526","DNAJA2-201",447
"527","DNAJA3-201",431
"528","DNAJB1-201",321
"529","DNAJB11-202",1042
"530","DNAJC1-202",1099
"531","DNAJC10-201",1131
"532","DNAJC11-202",279
"533","DNAJC13-201",668
"534","DNAJC19-201",180
"535","DNAJC2-203",107
"536","DNAJC3-202",982
"537","DNAJC7-203",598
"538","DNAJC8-201",532
"539","DNAJC9-201",382
"540","DNASE2-201",410
"541","DNM1L-220",433
"542","DNM2-201",737
"543","DNMT1-201",970
"544","DNPEP-217",372
"545","DNTTIP2-202",308
"546","DOCK2-210",908
"547","DOCK8-204",837
"548","DOHH-201",162
"549","DOK2-201",107
"550","DPF2-205",211
"551","DPH2-201",128
"552","DPM1-203",534
"553","DPP3-215",509
"554","DPYSL2-201",1704
"555","DR1-202",127
"556","DRAP1-201",335
"557","DRG1-201",510
"558","DSG2-201",893
"559","DSP-201",0
"560","DSTN-201",473
"561","DTYMK-201",232
"562","DUS1L-201",277
"563","DUSP12-201",176
"564","DUSP23-201",165
"565","DUT-201",665
"566","DYNC1H1-201",941
"567","DYNC1I2-201",488
"568","DYNC1LI1-201",276
"569","DYNLL1-203",370
"570","DYNLL2-201",202
"571","EARS2-201",227
"572","EBNA1BP2-202",493
"573","EBP-205",313
"574","ECH1-201",426
"575","ECHS1-201",301
"576","ECI2-202",274
"577","EDC4-201",666
"578","EDF1-201",687
"579","EEA1-201",231
"580","EEF1A1-202",9387
"581","EEF1B2-202",1668
"582","EEF1D-204",1338
"583","EEF1E1-201",48
"584","EEF1E1-BLOC1S5-201",0
"585","EEF1G-201",0
"586","EEF2-201",10037
"587","EEFSEC-201",263
"588","EFHD2-201",145
"589","EFTUD2-202",993
"590","EHBP1L1-201",402
"591","EHD1-201",413
"592","EHD4-201",319
"593","EIF1-203",1095
"594","EIF1B-201",105
"595","EIF2A-203",724
"596","EIF2AK2-201",272
"597","EIF2B1-201",260
"598","EIF2B3-201",210
"599","EIF2B5-226",570
"600","EIF2S1-201",417
"601","EIF2S2-201",774
"602","EIF2S3-201",574
"603","EIF3A-201",2242
"604","EIF3B-201",1705
"605","EIF3D-201",1569
"606","EIF3E-201",998
"607","EIF3F-207",1168
"608","EIF3G-201",636
"609","EIF3I-202",1277
"610","EIF3J-201",390
"611","EIF3K-201",1085
"612","EIF3M-208",901
"613","EIF4A1-201",3254
"614","EIF4A2-201",1615
"615","EIF4A3-209",833
"616","EIF4B-201",1580
"617","EIF4E-203",403
"618","EIF4G1-209",3272
"619","EIF4G2-208",1959
"620","EIF4H-202",900
"621","EIF5-201",244
"622","EIF5A-211",221
"623","EIF5B-201",738
"624","EIF6-201",598
"625","ELAC2-201",894
"626","ELAVL1-201",711
"627","ELMO1-201",869
"628","ELOF1-201",95
"629","ELOVL1-216",558
"630","EMD-202",294
"631","EML4-201",781
"632","ENO1-201",3771
"633","ENO2-205",1493
"634","ENOPH1-201",264
"635","ENSA-201",434
"636","ENY2-211",114
"637","EPB41-201",651
"638","EPHX1-206",476
"639","EPN1-202",248
"640","EPS15-203",425
"641","ERAP1-202",1213
"642","ERC1-213",282
"643","ERGIC1-202",970
"644","ERGIC3-202",1245
"645","ERH-203",439
"646","ERP29-201",1028
"647","ERP44-201",1594
"648","ESD-202",135
"649","ESYT1-202",1038
"650","ESYT2-202",562
"651","ETF1-201",662
"652","ETHE1-201",118
"653","ETV6-202",99
"654","EVI2B-201",922
"655","EWSR1-206",1786
"656","EXOC8-201",329
"657","EXOSC10-202",523
"658","EXOSC2-204",203
"659","EXOSC3-201",131
"660","EXOSC4-201",192
"661","EXOSC6-201",185
"662","EXOSC8-202",167
"663","EZR-201",1771
"664","F11R-202",0
"665","FABP5-201",632
"666","FADD-201",94
"667","FAF2-201",459
"668","FAHD1-203",121
"669","FAM107B-229",107
"670","FAM111B-201",1039
"671","FAM114A2-201",152
"672","FAM118B-209",90
"673","FAM120A-201",877
"674","FAM136A-201",218
"675","FAM162A-203",452
"676","FAM3C-201",715
"677","FAM98A-201",313
"678","FAM98B-202",337
"679","FARSA-201",667
"680","FARSB-201",841
"681","FASN-201",2832
"682","FAU-209",1354
"683","FBL-201",1234
"684","FBLL1-201",0
"685","FBXO3-201",269
"686","FDPS-203",1584
"687","FDX1-201",148
"688","FDXR-201",56
"689","FECH-201",251
"690","FEN1-201",989
"691","FERMT3-202",373
"692","FGD4-202",170
"693","FH-201",1885
"694","FHL1-203",640
"695","FHOD1-201",333
"696","FIP1L1-202",96
"697","FKBP11-208",816
"698","FKBP15-203",310
"699","FKBP2-202",0
"700","FKBP3-201",166
"701","FKBP4-201",1015
"702","FKBP5-202",186
"703","FKBP8-209",634
"704","FLAD1-203",240
"705","FLII-201",1152
"706","FLNA-202",2227
"707","FLOT1-201",258
"708","FLOT2-202",562
"709","FMNL1-202",1006
"710","FMR1-205",289
"711","FNBP4-201",239
"712","FNTA-201",144
"713","FOXO3-201",477
"714","FTL-201",908
"715","FTO-206",292
"716","FTSJ3-201",458
"717","FUBP1-203",933
"718","FUBP3-201",252
"719","FUS-201",2194
"720","FXR1-202",975
"721","FXR2-201",141
"722","G3BP1-202",1493
"723","G3BP2-202",1104
"724","G6PD-202",193
"725","GABPA-201",243
"726","GADD45GIP1-201",498
"727","GALE-216",118
"728","GALK1-201",285
"729","GALM-201",236
"730","GALNT2-201",908
"731","GAMT-201",418
"732","GANAB-201",4847
"733","GAPDH-205",6609
"734","GAR1-201",174
"735","GART-204",1422
"736","GAS2-202",260
"737","GAS6-201",1485
"738","GATAD2A-203",239
"739","GATAD2B-201",522
"740","GATM-201",332
"741","GBE1-201",363
"742","GBF1-201",743
"743","GBP1-201",115
"744","GCDH-216",322
"745","GCSH-201",0
"746","GDI1-204",561
"747","GDI2-203",1407
"748","GEMIN5-201",371
"749","GET4-201",162
"750","GFM1-210",919
"751","GFPT1-202",995
"752","GGCT-202",59
"753","GGH-201",772
"754","GIGYF2-201",397
"755","GLA-201",361
"756","GLDC-201",552
"757","GLG1-201",1315
"758","GLIPR2-202",67
"759","GLMN-201",90
"760","GLO1-201",451
"761","GLOD4-202",262
"762","GLRX-202",213
"763","GLRX3-202",589
"764","GLS-201",949
"765","GLYR1-201",490
"766","GM2A-201",674
"767","GMEB1-203",191
"768","GMFB-209",62
"769","GMFG-206",611
"770","GMPPA-203",239
"771","GMPPB-203",325
"772","GMPS-203",1046
"773","GNA13-201",431
"774","GNAI2-202",1112
"775","GNAI3-201",321
"776","GNAS-210",3099
"777","GNB1-201",772
"778","GNB2-201",823
"779","GNG5-201",197
"780","GNG7-201",91
"781","GNL1-201",159
"782","GNL2-201",715
"783","GNL3-202",1003
"784","GNPDA1-210",590
"785","GNS-201",1045
"786","GOLGA2-201",191
"787","GOLGB1-202",836
"788","GOLIM4-202",199
"789","GOLPH3-201",492
"790","GOLPH3L-201",156
"791","GOLT1B-201",159
"792","GORASP2-201",662
"793","GOSR1-204",173
"794","GOSR2-232",0
"795","GOT1-201",576
"796","GOT2-201",773
"797","GPATCH4-201",241
"798","GPI-201",4360
"799","GPKOW-201",266
"800","GPS1-204",594
"801","GPX4-201",634
"802","GRB2-203",408
"803","GRHPR-201",378
"804","GRIPAP1-201",232
"805","GRK6-211",521
"806","GRN-201",1076
"807","GRPEL1-201",315
"808","GRSF1-201",683
"809","GRWD1-201",496
"810","GSPT1-206",962
"811","GSR-201",556
"812","GSS-217",205
"813","GSTK1-201",760
"814","GSTO1-202",536
"815","GSTP1-202",2302
"816","GTF2A1-203",262
"817","GTF2B-201",389
"818","GTF2E1-201",72
"819","GTF2E2-201",149
"820","GTF2F2-201",55
"821","GTF2I-222",1411
"822","GTF3C3-201",226
"823","GTF3C5-202",259
"824","GTPBP1-201",441
"825","GTPBP4-202",571
"826","GUK1-210",344
"827","GUSB-201",2001
"828","GYG1-201",875
"829","GYS1-202",554
"830","HADH-201",743
"831","HADHA-201",1612
"832","HADHB-201",821
"833","HAGH-202",288
"834","HAT1-201",558
"835","HAX1-201",466
"836","HBS1L-205",510
"837","HCFC1-202",1360
"838","HCLS1-201",2243
"839","HDAC7-201",254
"840","HDDC2-202",90
"841","HDDC3-202",112
"842","HDGF-201",713
"843","HDLBP-203",1225
"844","HEATR1-203",597
"845","HEATR5B-201",883
"846","HEBP1-201",170
"847","HERPUD1-204",4115
"848","HEXB-201",951
"849","HGS-201",375
"850","HIBADH-201",96
"851","HIBCH-201",239
"852","HIGD1A-201",141
"853","HIGD2A-201",388
"854","HINT1-201",1008
"855","HINT2-201",15
"856","HIRIP3-201",266
"857","HM13-202",2524
"858","HMBS-232",164
"859","HMGA1-205",359
"860","HMGB2-201",1460
"861","HMGB3-201",241
"862","HMOX2-218",341
"863","HNRNPA0-201",874
"864","HNRNPA2B1-201",2739
"865","HNRNPA3-201",1726
"866","HNRNPAB-205",998
"867","HNRNPC-219",1004
"868","HNRNPD-203",1215
"869","HNRNPF-204",2097
"870","HNRNPH1-202",1547
"871","HNRNPH2-201",574
"872","HNRNPH3-201",502
"873","HNRNPK-205",3340
"874","HNRNPL-201",2767
"875","HNRNPM-201",2095
"876","HNRNPR-201",1361
"877","HNRNPU-226",4052
"878","HNRNPUL1-204",1383
"879","HNRNPUL2-201",19
"880","HNRNPUL2-BSCL2-201",0
"881","HOMER3-204",689
"882","HOOK3-201",138
"883","HP1BP3-210",1104
"884","HPRT1-201",454
"885","HPSE-202",107
"886","HS1BP3-201",203
"887","HSBP1-201",56
"888","HSD17B10-201",629
"889","HSD17B12-213",951
"890","HSD17B4-213",763
"891","HSD17B8-203",241
"892","HSDL2-202",257
"893","HSF1-204",324
"894","HSH2D-208",708
"895","HSP90AA1-201",2652
"896","HSP90AB1-202",6700
"897","HSP90B1-201",8508
"898","HSPA14-201",271
"899","HSPA14-204",0
"900","HSPA4-201",1141
"901","HSPA4L-201",246
"902","HSPA5-201",5201
"903","HSPA8-218",5408
"904","HSPA9-201",2712
"905","HSPBP1-201",364
"906","HSPD1-201",4031
"907","HSPE1-201",361
"908","HSPE1-MOB4-201",0
"909","HSPH1-201",580
"910","HTATSF1-204",471
"911","HTRA2-201",114
"912","HUWE1-203",1911
"913","HYOU1-220",3200
"914","HYPK-201",241
"915","IAH1-215",164
"916","IARS2-201",897
"917","ICAM3-201",1708
"918","IDE-201",504
"919","IDH1-203",271
"920","IDH2-201",2028
"921","IDH3A-201",572
"922","IDH3B-201",469
"923","IDH3G-201",435
"924","IDI1-203",647
"925","IFI16-201",1123
"926","IGBP1-201",159
"927","IGF2BP2-202",121
"928","IGF2BP3-201",0
"929","IGF2R-201",2713
"930","IK-201",631
"931","IKZF1-201",344
"932","IKZF3-203",685
"933","IL16-201",1671
"934","IL18R1-203",0
"935","ILF2-201",1419
"936","ILF3-203",1524
"937","ILK-202",118
"938","ILKAP-201",176
"939","ILVBL-201",273
"940","IMMT-207",951
"941","IMPA1-201",103
"942","IMPDH1-203",275
"943","IMPDH2-201",1415
"944","INCENP-202",524
"945","INPP4A-202",992
"946","INPPL1-201",330
"947","IPO5-230",1844
"948","IPO7-201",1059
"949","IPO9-201",651
"950","IQGAP1-201",480
"951","IQGAP2-201",675
"952","IRF2BP2-201",1115
"953","IRF4-201",2148
"954","IRGQ-201",150
"955","ISCU-201",453
"956","ISG20-201",633
"957","ISOC1-201",186
"958","ISOC2-202",173
"959","IST1-203",680
"960","ITGB1-202",984
"961","ITGB5-201",342
"962","ITGB7-201",9685
"963","ITPA-201",196
"964","IVD-215",266
"965","IWS1-201",228
"966","JAK1-212",1191
"967","JMJD6-202",223
"968","JSRP1-201",1674
"969","KATNAL2-202",0
"970","KCNAB2-206",372
"971","KCTD12-201",93
"972","KDM3B-201",476
"973","KHDRBS1-202",1271
"974","KHDRBS3-201",130
"975","KHSRP-201",1354
"976","KIDINS220-206",486
"977","KIF11-201",962
"978","KIF23-201",329
"979","KIF2A-203",334
"980","KIF5B-201",489
"981","KIFC1-211",837
"982","KPNA1-201",329
"983","KPNA2-202",1633
"984","KPNA3-201",217
"985","KPNA4-201",826
"986","KPNB1-201",1953
"987","KRR1-201",196
"988","KTI12-201",193
"989","KTN1-205",302
"990","LACTB2-201",191
"991","LAGE3-201",131
"992","LAMP1-201",1578
"993","LAMTOR1-201",273
"994","LAMTOR2-203",343
"995","LAMTOR3-202",207
"996","LANCL2-201",94
"997","LAP3-201",856
"998","LARP1-201",854
"999","LARP4-203",489
"1000","LARP7-201",226
"1001","LAS1L-203",594
"1002","LASP1-201",630
"1003","LBR-202",1445
"1004","LCMT1-203",126
"1005","LCP1-202",4435
"1006","LCP2-201",480
"1007","LDHA-205",5138
"1008","LDHB-203",479
"1009","LEMD3-201",508
"1010","LEO1-201",193
"1011","LETM1-201",356
"1012","LGALS1-201",1671
"1013","LGALS3-201",51
"1014","LGMN-202",1560
"1015","LIG1-201",500
"1016","LIG3-202",304
"1017","LIMD1-201",750
"1018","LIME1-201",1285
"1019","LLPH-201",0
"1020","LMAN1-201",1819
"1021","LMAN2-201",1679
"1022","LMNA-206",304
"1023","LMNB1-201",979
"1024","LMNB2-201",655
"1025","LNPEP-201",617
"1026","LONP1-201",985
"1027","LPCAT1-201",767
"1028","LPXN-201",1113
"1029","LRBA-220",866
"1030","LRCH4-201",109
"1031","LRPPRC-201",2096
"1032","LRRC47-201",384
"1033","LRRC59-201",943
"1034","LRRFIP1-203",311
"1035","LRWD1-201",571
"1036","LSM1-201",96
"1037","LSM12-204",364
"1038","LSM14A-203",595
"1039","LSM14B-201",197
"1040","LSM2-208",228
"1041","LSM3-201",202
"1042","LSM4-203",350
"1043","LSM5-208",219
"1044","LSM6-201",88
"1045","LSM7-201",415
"1046","LSP1-201",1416
"1047","LSR-214",975
"1048","LSS-202",1164
"1049","LTA4H-201",692
"1050","LTV1-201",91
"1051","LUC7L2-202",18
"1052","LUC7L3-208",324
"1053","LY9-201",1397
"1054","LYAR-201",214
"1055","LYPLA1-201",437
"1056","LYPLA2-205",207
"1057","LYRM7-201",65
"1058","LZIC-202",57
"1059","LZTFL1-201",135
"1060","M6PR-201",699
"1061","MACF1-232",0
"1062","MACROD1-201",131
"1063","MAD1L1-204",0
"1064","MAGED2-203",906
"1065","MAGT1-201",1025
"1066","MAK16-201",125
